The 30 closest Whataburgers to (29.5827351, -98.621094):
Whataburger #596. 6803 N Loop 1604 W, San Antonio, Texas, 78249. - 0.44 miles.
Whataburger #784. 8426 Broadway St, San Antonio, Texas, 78209. - 6.38 miles.
Whataburger #755. 2557 NW Loop 410, San Antonio, Texas, 78230. - 6.60 miles.
Whataburger #363. 4635 Rittiman Rd, San Antonio, Texas, 78218. - 6.65 miles.
Whataburger #985. 4590 NW Loop 410, San Antonio, Texas, 78229. - 6.72 miles.
Whataburger #711. 10011 San Pedro, San Antonio, Texas, 78216. - 7.34 miles.
Whataburger #1106. 8002 Fredericksburg Rd, San Antonio, Texas, 78229. - 7.76 miles.
Whataburger #298. 8300 N IH 35, Windcrest, Texas, 78239. - 8.20 miles.
Whataburger #949. 12510 SW Loop 410, San Antonio, Texas, 78224. - 8.26 miles.

The 20 closest Whataburgers to (27.5458088, -99.6752923):
Whataburger #602. 10112 FM 1472, Laredo, Texas, 78045. - 10.44 miles.
Whataburger #69. 4902 San Bernardo, Laredo, Texas, 78041. - 10.44 miles.
Whataburger #702. 202 W. Del Mar Blvd., Laredo, Texas, 78041. - 10.91 miles.
Whataburger #845. 9102 Mcpherson Rd, Laredo, Texas, 78045. - 12.39 miles.
Whataburger #669. 7110 McPherson Rd., Laredo, Texas, 78041. - 12.44 miles.
Whataburger #47. 2118 Guadalupe St, Laredo, Texas, 78043. - 12.59 miles.
Whataburger #335. 2701 E Saunders St, Laredo, Texas, 78041. - 12.70 miles.
Whataburger #154. 2420 NE Bob Bullock Loop, Laredo, Texas, 78043. - 13.38 miles.
Whataburger #837. 809 Riverhill Dr, Laredo, Texas, 78046. - 13.45 miles.
Whataburger #868. 7010 Lancer Rd, Laredo, Texas, 78041. - 13.94 miles.
Whataburger #741. 4416 Highway 359, Laredo, Texas, 78043. - 14.26 miles.
Whataburger #593. 505 US-83, Roma, Texas, 78584. - 89.08 miles.
Whataburger #829. 454 S Bibb Ave, Eagle Pass, Texas, 78852. - 93.88 miles.
Whataburger #317. 101 US-281, Falfurrias, Texas, 78355. - 96.63 miles.
Whataburger #851. 141 S U.S. Hwy 281, Alice, Texas, 78332. - 96.70 miles.
Whataburger #174. 4515 E US Hwy 83, Rio Grande City, Texas, 78582. - 97.46 miles.
Whataburger #456. 4143 US Hwy 83 E, Rio Grande City, Texas, 78582. - 97.46 miles.
Whataburger #5. 1242 E Main St., Alice, Texas, 78332. - 99.92 miles.
Whataburger #4. 510 S 14th St, Kingsville, Texas, 78363. - 111.51 miles.
Whataburger #800. 2701 S US Hwy 77 Bypass, Kingsville, Texas, 78363. - 112.02 miles.

The 20 closest Whataburgers to (30.28575023, -97.7417364):
Whataburger #992. 2800 Guadalupe St, Austin, Texas, 78705. - 0.53 miles.
Whataburger #346. 601 Barton Springs Rd, Austin, Texas, 78704. - 1.99 miles.
Whataburger #162. 3210 E Martin Luther King Jr Blvd, Austin, Texas, 78721. - 2.32 miles.
Whataburger #576. 6205 N Lamar Blvd, Austin, Texas, 78752. - 3.28 miles.
Whataburger #84. 6106 Cameron Rd, Austin, Texas, 78723. - 3.48 miles.
Whataburger #149. 1616 E Oltorf St, Austin, Texas, 78741. - 3.60 miles.
Whataburger #614. 1908 W Ben White Blvd, Austin, Texas, 78704. - 4.69 miles.
Whataburger #347. 2801 W Anderson Ln, Austin, Texas, 78757. - 5.05 miles.
Whataburger #132. 9516 N Lamar Blvd, Austin, Texas, 78753. - 6.13 miles.
Whataburger #181. 2901 Spirit of Texas Dr, Austin, Texas, 78719. - 6.82 miles.
Whataburger #321. 801 E William Cannon Dr, Austin, Texas, 78745. - 6.85 miles.
Whataburger #910. 6611 S Mo Pac Expy, Austin, Texas, 78749. - 7.20 miles.
Whataburger #481. 11135 N Interstate Hwy 35, Austin, Texas, 78753. - 7.33 miles.
Whataburger #884. 9300 S Interstate 35, Austin, Texas, 78748. - 8.96 miles.
Whataburger #809. 3400 W Slaughter Ln, Austin, Texas, 78748. - 9.50 miles.
Whataburger #907. 6301 W Parmer Ln, Austin, Texas, 78729. - 11.02 miles.
Whataburger #736. 14310-A IH 35, Austin, Texas, 78728. - 11.03 miles.
Whataburger #1022. 8300 N FM 620, Austin, Texas, 78726. - 11.41 miles.
Whataburger #1108. 12003 E US 290, Manor, Texas, 78653. - 12.78 miles.
Whataburger #177. 17000 N RM 620, Round Rock, Texas, 78681. - 12.99 miles.

The 15 closest Whataburgers to (39.7642548, -104.9951942):
Whataburger #1095. 4196 Highway 528 NE, Rio Rancho, New Mexico, 87144. - 318.38 miles.
Whataburger #714. 3531 State Highway 528 NW, Albuquerque, New Mexico, 87114. - 327.72 miles.
Whataburger #697. 4201 Osuna Rd NE, Albuquerque, New Mexico, 87109. - 330.20 miles.
Whataburger #842. 9500 Candelaria Rd NE, Albuquerque, New Mexico, 87112. - 332.09 miles.
Whataburger #245. 2808 Carlisle Blvd NE, Albuquerque, New Mexico, 87110. - 333.25 miles.
Whataburger #247. 200 Menaul Blvd NW, Albuquerque, New Mexico, 87107. - 334.03 miles.
Whataburger #1126. 3711 Las Estancias Ct, Albuquerque, New Mexico, 87121. - 340.87 miles.
Whataburger #427. 734 N Pierce St, Amarillo, Texas, 79107. - 358.62 miles.
Whataburger #371. 3401 S Coulter St, Amarillo, Texas, 79109. - 359.02 miles.
Whataburger #307. 2424 S Georgia St, Amarillo, Texas, 79109. - 359.68 miles.
Whataburger #114. 4111 SW 45th Ave, Amarillo, Texas, 79109. - 360.77 miles.
Whataburger #902. 3620 E Interstate 40, Amarillo, Texas, 79103. - 361.34 miles.
Whataburger #758. 6120 Hollywood Rd, Amarillo, Texas, 79110. - 363.05 miles.
Whataburger #731. 2110 N Main St, Roswell, New Mexico, 88201. - 439.25 miles.
Whataburger #915. 5512 4th St, Lubbock, Texas, 79416. - 458.84 miles.

The 15 closest Whataburgers to (36.1865589, -86.9253286):
Whataburger #184. 1621 Beltline Rd SW, Decatur, Alabama, 35601. - 112.03 miles.
Whataburger #896. 5931 Trussville Crossings Pkwy, Birmingham, Alabama, 35235. - 176.56 miles.
Whataburger #920. 1601 Main Street, Fultondale, Alabama, 35068. - 178.23 miles.
Whataburger #171. 1824 Ashville Rd, Leeds, Alabama, 35094. - 182.75 miles.
Whataburger #116. 111 Resource Center Pkwy, Birmingham, Alabama, 35242. - 191.18 miles.
Whataburger #959. 557 Cahaba Valley Road, Pelham, Alabama, 35124. - 197.21 miles.
Whataburger #927. 1101 1st Street South, Alabaster, Alabama, 35007. - 204.16 miles.
Whataburger #1140. 1301 McFarland Blvd E, Tuscaloosa, Alabama, 35404. - 209.10 miles.
Whataburger #1118. 820 Skyland Blvd., Tuscaloosa, Alabama, 35405. - 211.70 miles.
Whataburger #968. 2280 7th Street South, Clanton, Alabama, 35046. - 234.78 miles.
Whataburger #192. 2501 Gateway Drive, Opelika, Alabama, 36801. - 261.17 miles.
Whataburger #186. 6970 Eastchase Loop, Montgomery, Alabama, 36117. - 267.94 miles.
Whataburger #864. 800 E County Line Rd, Ridgeland, Mississippi, 39157. - 319.63 miles.
Whataburger #1113. 1724 Old Fannin Rd, Flowood, Mississippi, 39232. - 320.44 miles.
Whataburger #836. 1320 North High Street, Jackson, Mississippi, 39202. - 325.98 miles.

The 15 closest Whataburgers to (33.6050991, -112.4052331):
Whataburger #764. 14251 West Indian School Bypass, Goodyear, Arizona, 85395. - 8.58 miles.
Whataburger #220. 8922 W Bell Rd, Peoria, Arizona, 85382. - 9.16 miles.
Whataburger #537. 1460 North Dysart Road, Avondale, Arizona, 85323. - 11.35 miles.
Whataburger #585. 2040 N 75th Ave, Phoenix, Arizona, 85035. - 14.09 miles.
Whataburger #220. 4280 W Bell Rd, Glendale, Arizona, 85308. - 14.81 miles.
Whataburger #222. 2910 W Thunderbird Rd, Phoenix, Arizona, 85053. - 16.37 miles.
Whataburger #756. 2460 W Bethany Home Rd, Phoenix, Arizona, 85015. - 17.79 miles.
Whataburger #217. 450 W Indian School Rd, Phoenix, Arizona, 85013. - 20.22 miles.
Whataburger #535. 1840 S 19th Ave, Phoenix, Arizona, 85009. - 21.34 miles.
Whataburger #218. 737 E McDowell Rd, Phoenix, Arizona, 85006. - 21.92 miles.
Whataburger #219. 2901 E Bell Rd, Phoenix, Arizona, 85032. - 22.32 miles.
Whataburger #170. 12440 N Tatum Blvd, Phoenix, Arizona, 85032. - 24.46 miles.
Whataburger #761. 4610 S 48th St, Phoenix, Arizona, 85040. - 28.16 miles.
Whataburger #1172. 7134 E Thomas Rd, Scottsdale, Arizona, 85251. - 28.79 miles.
Whataburger #215. 2955 N Hayden Rd, Scottsdale, Arizona, 85251. - 29.85 miles.

The 15 closest Whataburgers to (40.6974034, -74.1197636):
Whataburger #909. 463773 State Rd 200, Yulee, Florida, 32097. - 810.47 miles.
Whataburger #184. 1621 Beltline Rd SW, Decatur, Alabama, 35601. - 821.58 miles.
Whataburger #865. 1201 Atlantic Blvd, Neptune Beach, Florida, 32266. - 824.97 miles.
Whataburger #874. 8840 Beach Blvd, Jacksonville, Florida, 32216. - 831.57 miles.
Whataburger #853. 7165 Philips Hwy, Jacksonville, Florida, 32256. - 835.21 miles.
Whataburger #192. 2501 Gateway Drive, Opelika, Alabama, 36801. - 836.88 miles.
Whataburger #886. 7755 Normandy Blvd, Jacksonville, Florida, 32221. - 837.01 miles.
Whataburger #171. 1824 Ashville Rd, Leeds, Alabama, 35094. - 841.16 miles.
Whataburger #896. 5931 Trussville Crossings Pkwy, Birmingham, Alabama, 35235. - 842.24 miles.
Whataburger #973. 289 Blanding Blvd, Orange Park, Florida, 32073. - 843.72 miles.
Whataburger #185. 1778 Blanding Blvd, Middleburg, Florida, 32068. - 850.03 miles.
Whataburger #920. 1601 Main Street, Fultondale, Alabama, 35068. - 851.50 miles.
Whataburger #116. 111 Resource Center Pkwy, Birmingham, Alabama, 35242. - 855.29 miles.
Whataburger #959. 557 Cahaba Valley Road, Pelham, Alabama, 35124. - 862.86 miles.
Whataburger #927. 1101 1st Street South, Alabaster, Alabama, 35007. - 868.44 miles.
